Exchange Date,Close
23-Aug-06,12.4
24-Aug-06,12.4
25-Aug-06,12.31
28-Aug-06,12.18
29-Aug-06,12.28
30-Aug-06,12.22
31-Aug-06,12.31
01-Sep-06,11.96
05-Sep-06,12.63
06-Sep-06,13.74
07-Sep-06,13.88
08-Sep-06,13.16
11-Sep-06,12.99
12-Sep-06,11.92
13-Sep-06,11.18
14-Sep-06,11.55
15-Sep-06,11.76
18-Sep-06,11.78
19-Sep-06,11.98
20-Sep-06,11.39
21-Sep-06,12.25
22-Sep-06,12.59
25-Sep-06,12.12
26-Sep-06,11.53
27-Sep-06,11.58
28-Sep-06,11.72
29-Sep-06,11.98
02-Oct-06,12.57
03-Oct-06,12.24
04-Oct-06,11.86
05-Oct-06,11.98
06-Oct-06,11.56
09-Oct-06,11.68
10-Oct-06,11.52
11-Oct-06,11.62
12-Oct-06,11.09
13-Oct-06,10.75
16-Oct-06,11.09
17-Oct-06,11.73
18-Oct-06,11.34
19-Oct-06,10.9
20-Oct-06,10.63
23-Oct-06,11.08
24-Oct-06,10.78
25-Oct-06,10.66
26-Oct-06,10.56
27-Oct-06,10.8
30-Oct-06,11.2
31-Oct-06,11.1
01-Nov-06,11.51
02-Nov-06,11.42
03-Nov-06,11.16
06-Nov-06,11.16
07-Nov-06,11.09
08-Nov-06,10.75
09-Nov-06,11.01
10-Nov-06,10.79
13-Nov-06,10.86
14-Nov-06,10.5
15-Nov-06,10.31
16-Nov-06,10.16
17-Nov-06,10.05
20-Nov-06,9.97
21-Nov-06,9.9
22-Nov-06,10.14
24-Nov-06,10.73
27-Nov-06,12.3
28-Nov-06,11.62
29-Nov-06,10.83
30-Nov-06,10.91
01-Dec-06,11.66
04-Dec-06,11.23
05-Dec-06,11.27
06-Dec-06,11.33
07-Dec-06,12.67
08-Dec-06,12.07
11-Dec-06,10.71
12-Dec-06,10.65
13-Dec-06,10.18
14-Dec-06,9.97
15-Dec-06,10.05
18-Dec-06,10.6
19-Dec-06,10.3
20-Dec-06,10.26
21-Dec-06,10.53
22-Dec-06,11.36
26-Dec-06,11.26
27-Dec-06,10.64
28-Dec-06,10.99
29-Dec-06,11.56
03-Jan-07,12.04
04-Jan-07,11.51
05-Jan-07,12.14
08-Jan-07,12
09-Jan-07,11.91
10-Jan-07,11.47
11-Jan-07,10.87
12-Jan-07,10.15
16-Jan-07,10.74
17-Jan-07,10.59
18-Jan-07,10.85
19-Jan-07,10.4
22-Jan-07,10.77
23-Jan-07,10.34
24-Jan-07,9.89
25-Jan-07,11.22
26-Jan-07,11.13
29-Jan-07,11.45
30-Jan-07,10.96
31-Jan-07,10.42
01-Feb-07,10.31
02-Feb-07,10.08
05-Feb-07,10.55
06-Feb-07,10.65
07-Feb-07,10.32
08-Feb-07,10.44
09-Feb-07,11.1
12-Feb-07,11.61
13-Feb-07,10.34
14-Feb-07,10.23
15-Feb-07,10.22
16-Feb-07,10.02
20-Feb-07,10.24
21-Feb-07,10.2
22-Feb-07,10.18
23-Feb-07,10.58
26-Feb-07,11.15
27-Feb-07,18.31
28-Feb-07,15.42
01-Mar-07,15.82
02-Mar-07,18.61
05-Mar-07,19.63
06-Mar-07,15.96
07-Mar-07,15.24
08-Mar-07,14.29
09-Mar-07,14.09
12-Mar-07,13.99
13-Mar-07,18.13
14-Mar-07,17.27
15-Mar-07,16.43
16-Mar-07,16.79
19-Mar-07,14.59
20-Mar-07,13.27
21-Mar-07,12.19
22-Mar-07,12.93
23-Mar-07,12.95
26-Mar-07,13.16
27-Mar-07,13.48
28-Mar-07,14.98
29-Mar-07,15.14
30-Mar-07,14.64
02-Apr-07,14.53
03-Apr-07,13.46
04-Apr-07,13.24
05-Apr-07,13.23
09-Apr-07,13.14
10-Apr-07,12.68
11-Apr-07,13.49
12-Apr-07,12.71
13-Apr-07,12.2
16-Apr-07,11.98
17-Apr-07,12.14
18-Apr-07,12.42
19-Apr-07,12.54
20-Apr-07,12.07
23-Apr-07,13.04
24-Apr-07,13.12
25-Apr-07,13.21
26-Apr-07,12.79
27-Apr-07,12.45
30-Apr-07,14.22
01-May-07,13.51
02-May-07,13.08
03-May-07,13.09
04-May-07,12.91
07-May-07,13.15
08-May-07,13.21
09-May-07,12.88
10-May-07,13.6
11-May-07,12.95
14-May-07,13.96
15-May-07,14.01
16-May-07,13.5
17-May-07,13.51
18-May-07,12.76
21-May-07,13.3
22-May-07,13.06
23-May-07,13.24
24-May-07,14.08
25-May-07,13.34
29-May-07,13.53
30-May-07,12.83
31-May-07,13.05
01-Jun-07,12.78
04-Jun-07,13.29
05-Jun-07,13.63
06-Jun-07,14.87
07-Jun-07,17.06
08-Jun-07,14.84
11-Jun-07,14.71
12-Jun-07,16.67
13-Jun-07,14.73
14-Jun-07,13.64
15-Jun-07,13.94
18-Jun-07,13.42
19-Jun-07,12.85
20-Jun-07,14.67
21-Jun-07,14.21
22-Jun-07,15.75
25-Jun-07,16.65
26-Jun-07,18.89
27-Jun-07,15.53
28-Jun-07,15.54
29-Jun-07,16.23
02-Jul-07,15.4
03-Jul-07,14.92
05-Jul-07,15.48
06-Jul-07,14.72
09-Jul-07,15.16
10-Jul-07,17.57
11-Jul-07,16.64
12-Jul-07,15.54
13-Jul-07,15.15
16-Jul-07,15.59
17-Jul-07,15.63
18-Jul-07,16
19-Jul-07,15.23
20-Jul-07,16.95
23-Jul-07,16.81
24-Jul-07,18.55
25-Jul-07,18.1
26-Jul-07,20.74
27-Jul-07,24.17
30-Jul-07,20.87
31-Jul-07,23.52
01-Aug-07,23.67
02-Aug-07,21.22
03-Aug-07,25.16
06-Aug-07,22.94
07-Aug-07,21.56
08-Aug-07,21.45
09-Aug-07,26.48
10-Aug-07,28.3
13-Aug-07,26.57
14-Aug-07,27.68
15-Aug-07,30.67
16-Aug-07,30.83
17-Aug-07,29.99
20-Aug-07,26.33
21-Aug-07,25.25
22-Aug-07,22.89
23-Aug-07,22.62
